酒造名,銘柄名,種類,アルコール度数,産地,原料,精米歩合,製法の特徴,香りの特徴,味わいの特徴,食事との相性,ターゲット層,価格帯ポジション,税抜価格,容量,入数,梱包サイズ,重さ,海外実績,キャッチコピー,核心訴求点,ストーリー性,推奨飲み方
佐々木酒造,極 純米大吟醸,純米大吟醸,16%,京都,山田錦,40%,丁寧な醸造,果実のようなフルーティー,雑味の削ぎ落とされた綺麗な味わい,鮪（寿司、刺身）、冷奴、白身魚のムニエル、生ハム,プレミアム志向、日本酒通,プレミアム,"¥4,500",720ml,12本,385×290×340mm,15.5kg/ケース,-,磨き抜かれた極上の一滴,最高級米を40%まで磨いた、雑味のない透明感ある味わい,酒造好適米の最高峰・山田錦を贅沢に使用,冷酒
佐々木酒造,聚楽第 純米吟醸,純米吟醸,15%,京都,京都産祝米,60%,濾過を控えた「自然流」製法,米の香りをそのまま活かす,まろやかな口当たりとキレの良い喉ごし,すき焼き、焼き鳥、天ぷら、お好み焼き,祝い事・ギフト需要、京都ブランド志向,ミドル,"¥1,638",720ml,12本,280×370×330mm,16kg/ケース,-,京都の祝い酒、慶びを込めて,京都産米使用、祝い事で選ばれる伝統の味,京都の祝い事文化と結びついた銘柄,冷酒、常温
ほまれ酒造,純米大吟醸 極,純米大吟醸,16%,会津,-,50%,-,りんごや洋梨のような滑らかな香り,旨味、まろやかな酸味、すっきりとした後味,白身魚の刺身、鴨のスモーク、カマンベールチーズ,毎日飲みたい人、コスパ重視層,アクセシブル,"¥1,298",720ml,6本,260×175×330mm,7.1kg/ケース,-,毎日を贅沢に。手の届く純米大吟醸,「ちょっと贅沢な家飲み」をコンセプトにした手頃な価格,日常に寄り添う純米大吟醸というコンセプト,冷酒、常温
大和川酒造,大吟醸 辛口 彌右衛門,大吟醸,16%,会津,夢の香（自社田栽培）,50%,自社田での米栽培,華やか,爽快な辛口、すっきりとしたキレ、米の旨味,白身魚、カルパッチョ、天ぷら,辛口志向、ストーリー重視層,ミドル～プレミアム,"¥1,701",720ml,12本,355×275×310mm,14kg/ケース,-,自社田から生まれる、爽快辛口,自社栽培米による一貫生産体制,田んぼから瓶詰めまで自社で管理する徹底したこだわり,冷酒
榮川酒造,純米吟醸,純米吟醸,15%,会津,夢の香,55%,-,華やか,まろやかな旨味、淡麗辛口,すき焼き、魚の塩焼き、チーズ、フルーツ,淡麗辛口好き、地域性重視層,ミドル,"¥1,950",720ml,6本,254×170×322mm,7.5kg/ケース,-,会津が誇る淡麗辛口,会津産米使用の地域密着型,福島・会津地方の伝統と風土を体現,冷酒、常温
近藤酒造,赤城山 大吟醸,大吟醸,16%,群馬,五百万石,40%,高度精米,華やか,上品な旨味、キレの良さ、バランス調和,寿司、白身魚の刺身、カマンベールチーズ,ワイン通、米国市場,プレミアム,"¥4,005",720ml,6本,215×310×360mm,8kg/ケース,米国での人気酒,ワイン通も唸る、日本の芸術品,米国で既に実績あり、ワイン愛好家からも支持,和と洋の食文化を繋ぐ架け橋,冷酒、ワイングラスで
近藤酒造,赤城山 純米吟醸,純米吟醸,15%,群馬,五百万石,50%,-,華やか,スッキリとした飲み口、米の旨味、バランス良好,すき焼き、天ぷら、焼き鳥、おでん,万人受け、初心者～中級者,ミドル,"¥2,100",720ml,12本,270×360×330mm,16kg/ケース,-,誰からも愛される、万能選手,和洋中全てに対応できる汎用性の高さ,様々な食文化に寄り添う柔軟性,冷酒、常温、ぬる燗
梅ヶ枝酒造,純米吟醸,純米吟醸,15%,長崎,米（詳細要確認）,60%,米だけで作る自然との真剣勝負,吟醸酒の華やかな香り,純米酒の旨味とのバランス,刺身、蕎麦、トマトソースパスタ、フルーツ,九州ブランド好き、地域性重視層,ミドル,"¥1,680",720ml,10本,410×165×325mm,12.2kg/ケース,-,長崎が誇る、米との真剣勝負,長崎の地域人気銘柄,九州・長崎の風土と職人魂,冷酒、常温
五島列島酒造,五島芋,芋焼酎,25%,五島列島（長崎県）,さつま芋（かんころ餅の原料品種）,-,甘みの強い芋使用,フルーティーで華やか,焼き芋のような優しい甘み、すっきりとした後味,しゃぶしゃぶ、焼き鳥、キノコのソテー,焼酎初心者、女性、フルーティー好き,ミドル,"¥1,497",720ml,12本,312×389×291mm,14.15kg/ケース,LOS ANGELES INTERNATIONAL SPIRITS COMPETITION2018 金賞受賞、東京ウイスキー&スピリッツコンペティション2024 金賞受賞,島の恵みが生む、華やかな芋焼酎,五島列島の伝統食材を使った地域代表銘柄,離島ならではの特産品と伝統製法の融合,ロック、水割り、お湯割り
中野BC,梅酒 紀州『実入り』,梅酒,14%,和歌山県,南高梅 100%,-,梅の実が入ったまま瓶詰め,南高梅の香り,王道の味わい、南高梅の旨み,和食、ハーブ料理、たらの西京焼き,梅酒好き、ビジュアル重視層,ミドル,"¥1,080",720ml,6本,180×260×288mm,8.8kg/ケース,-,見て楽しい、飲んで美味しい王道梅酒,南高梅100%、実入りの見た目の楽しさ,和歌山・紀州の梅ブランド,ロック、ソーダ割り
